Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1CFVMYmFaPCx3GVdLuCKXY,"Ghosts","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,81893,23,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.232,0.122,7,-15.69,1,0.0349,0.976,0.948,0.186,0.0915,87.791,4
spotify:track:1URar88dyQpls8LTBV9YMO,"Crimin' & Dealin'","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,104866,22,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.703,0.557,1,-15.247,1,0.0754,0.00862,0.941,0.14,0.139,93.985,4
spotify:track:0J4sNccRowctPpjjzsqNLu,"Hope Overture","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,151200,27,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.647,0.204,7,-18.764,0,0.0319,0.842,0.889,0.0982,0.463,134.05,4
spotify:track:3RMUdJGSA7Zz8Hm4jQUPBE,"Tense","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,28400,0,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.272,0.0551,0,-30.58,1,0.0972,0.945,0.985,0.1,0.0334,104.967,4
spotify:track:5yv9GueFRmnF7RfaWtTAuA,"Bialy & Lox Conga","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,45093,18,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.511,0.32,6,-15.89,1,0.0454,0.736,0.509,0.267,0.893,132.194,4
spotify:track:3nHWJEJlL1wUvvsQG7UTat,"Cleaning Apartment","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,86066,30,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.434,0.285,3,-14.935,1,0.0333,0.921,0.833,0.168,0.0396,133.962,4
spotify:track:7vWqh2jf9plrPZMaGk6AlW,"Ghosts-Falling","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,71466,20,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.121,0.15,9,-15.136,1,0.0365,0.977,0.893,0.11,0.0884,175.736,4
spotify:track:61M5aGIbLweLyfzdwiFbou,"Dreams","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,62893,20,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.271,0.0152,0,-30.136,1,0.0573,0.995,0.953,0.0806,0.0343,175.725,3
spotify:track:7MRRjvJordQFQx71EWXfpx,"Arnold","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,155466,18,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.223,0.0782,2,-21.619,1,0.0578,0.988,0.677,0.109,0.038,100.741,3
spotify:track:10mmcFmtOuTLf6DGRUOY0m,"Marion Barfs","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,142173,35,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.453,0.311,3,-11.275,1,0.0305,0.894,0.847,0.101,0.0507,134.04,4
spotify:track:028amFVIQoBjaFLAytZ2ry,"Supermarket Sweep","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,134400,20,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.616,0.456,7,-19.763,1,0.0337,0.0288,0.929,0.128,0.415,93.971,4
spotify:track:6wANaNwS4e6yILydJe7JPT,"Dreams","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,32733,18,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.406,0.014,0,-26.017,1,0.0491,0.996,0.603,0.071,0.0384,71.751,4
spotify:track:33DiEblnLfuGteI135Ee2p,"Sara Goldfarb Has Left the Building","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,77160,20,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.0702,0.206,8,-24.077,1,0.0431,0.0108,0.953,0.0981,0.234,181.909,3
spotify:track:3J2GmmVJWhpGO5QTy26HZx,"Bugs Got a Devilish Grin Conga","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,57306,16,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.361,0.563,0,-11.046,1,0.0428,0.392,0.00323,0.55,0.901,121.952,4
spotify:track:14wgZbm2WnFskZCkrBoT1L,"Winter Overture","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,19333,1,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.22,0.586,7,-12.708,1,0.0895,0.577,0.962,0.577,0.0385,126.333,3
spotify:track:360JWVNcy65Plx7RGYPrTf,"Southern Hospitality","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,83360,20,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.776,0.598,3,-11.338,1,0.0345,0.936,0.85,0.131,0.469,87.947,4
spotify:track:6UPzIkWW60mKA9CbvbQAhx,"Fear","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,146506,18,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.849,0.214,5,-14.819,1,0.144,0.501,0.841,0.091,0.152,87.99,4
spotify:track:5CNVLKxoVv3V5rCkAqjZlS,"Full Tense","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,64160,18,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.411,0.0323,5,-35.187,1,0.0461,0.967,0.803,0.105,0.334,175.948,4
spotify:track:7CAD3QOpAUwRYR9PaQNgR6,"The Beginning of the End","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,268640,21,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.695,0.338,5,-15.809,1,0.333,0.93,0.888,0.108,0.373,175.942,4
spotify:track:7eL45furdLAEvkHoTy8D0x,"Ghosts of a Future Lost","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,111000,23,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.182,0.0759,2,-21.995,1,0.0351,0.963,0.945,0.0903,0.0385,78.34,4
spotify:track:1F37LyUGnm5Ook2sUMiYDH,"Meltdown","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,236133,24,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.832,0.552,1,-11.101,0,0.371,0.709,0.938,0.0628,0.419,87.949,4
spotify:track:62Da3JOu9H9EIgmqV7DoLG,"Lux Aeterna","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,234400,59,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.38,0.246,7,-13.955,0,0.0329,0.872,0.905,0.084,0.0573,133.805,4
spotify:track:4opHKvbt5eB76fTzSjIRcl,"Coney Island Low","Requiem for a Dream / OST","Clint Mansell;Kronos Quartet",2000,133866,19,false,sartoip888,2019-10-31T16:22:32Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.155,0.324,1,-39.704,1,0.0628,0.328,0.497,0.352,0.0106,133.425,4
